"","#","N","a","b","cp","d","g","h","NT"
"296","ExpM_cond296","500","0.39","0","0.14","0.5","0.14","0.14","1"
"297","ExpM_cond297","500","0.39","0","0.14","0.8","0","0","1"
"298","ExpM_cond298","500","0.39","0","0.14","0.8","0","0.14","1"
"299","ExpM_cond299","500","0.39","0","0.14","0.8","0.14","0","1"
"300","ExpM_cond300","500","0.39","0","0.14","0.8","0.14","0.14","1"
"301","ExpM_cond301","500","0.39","0.14","0.14","0.3","0","0","1"
"302","ExpM_cond302","500","0.39","0.14","0.14","0.3","0","0.14","1"
"303","ExpM_cond303","500","0.39","0.14","0.14","0.3","0.14","0","1"
"304","ExpM_cond304","500","0.39","0.14","0.14","0.3","0.14","0.14","1"
"305","ExpM_cond305","500","0.39","0.14","0.14","0.5","0","0","1"
"306","ExpM_cond306","500","0.39","0.14","0.14","0.5","0","0.14","1"
"307","ExpM_cond307","500","0.39","0.14","0.14","0.5","0.14","0","1"
"308","ExpM_cond308","500","0.39","0.14","0.14","0.5","0.14","0.14","1"
"309","ExpM_cond309","500","0.39","0.14","0.14","0.8","0","0","1"
"310","ExpM_cond310","500","0.39","0.14","0.14","0.8","0","0.14","1"
"311","ExpM_cond311","500","0.39","0.14","0.14","0.8","0.14","0","1"
"312","ExpM_cond312","500","0.39","0.14","0.14","0.8","0.14","0.14","1"
"313","ExpM_cond313","500","0.39","0.39","0.14","0.3","0","0","1"
"314","ExpM_cond314","500","0.39","0.39","0.14","0.3","0","0.14","1"
"315","ExpM_cond315","500","0.39","0.39","0.14","0.3","0.14","0","1"
"316","ExpM_cond316","500","0.39","0.39","0.14","0.3","0.14","0.14","1"
"317","ExpM_cond317","500","0.39","0.39","0.14","0.5","0","0","1"
"318","ExpM_cond318","500","0.39","0.39","0.14","0.5","0","0.14","1"
"319","ExpM_cond319","500","0.39","0.39","0.14","0.5","0.14","0","1"
"320","ExpM_cond320","500","0.39","0.39","0.14","0.5","0.14","0.14","1"
"321","ExpM_cond321","500","0.39","0.39","0.14","0.8","0","0","1"
"322","ExpM_cond322","500","0.39","0.39","0.14","0.8","0","0.14","1"
"323","ExpM_cond323","500","0.39","0.39","0.14","0.8","0.14","0","1"
"324","ExpM_cond324","500","0.39","0.39","0.14","0.8","0.14","0.14","1"
"325","ExpM_cond325","100","0","0","0.14","0.3","0","0","0"
"326","ExpM_cond326","100","0","0","0.14","0.3","0","0.14","0"
"327","ExpM_cond327","100","0","0","0.14","0.3","0.14","0","0"
"328","ExpM_cond328","100","0","0","0.14","0.3","0.14","0.14","0"
"329","ExpM_cond329","100","0","0","0.14","0.5","0","0","0"
"330","ExpM_cond330","100","0","0","0.14","0.5","0","0.14","0"
"331","ExpM_cond331","100","0","0","0.14","0.5","0.14","0","0"
"332","ExpM_cond332","100","0","0","0.14","0.5","0.14","0.14","0"
"333","ExpM_cond333","100","0","0","0.14","0.8","0","0","0"
"334","ExpM_cond334","100","0","0","0.14","0.8","0","0.14","0"
"335","ExpM_cond335","100","0","0","0.14","0.8","0.14","0","0"
"336","ExpM_cond336","100","0","0","0.14","0.8","0.14","0.14","0"
